name,lc_name,lon,lat,id
Aruba,aruba,-69.98267711,12.52088038,1
Afghanistan,afghanistan,66.00473366,33.83523073,2
Angola,angola,17.53736768,-12.29336054,3
Anguilla,anguilla,-63.06498927,18.2239595,4
Albania,albania,20.04983396,41.14244989,5
Aland,aland,19.95328768,60.21488688,6
Andorra,andorra,1.56054378,42.54229102,7
United Arab Emirates,united arab emirates,54.3001671,23.90528188,8
Argentina,argentina,-65.17980692,-35.3813488,9
Armenia,armenia,44.92993276,40.28952569,10
American Samoa,american samoa,-170.71802575,-14.30445997,11
Antarctica,antarctica,19.92108951,-80.50857913,12
Ashmore and Cartier Is.,ashmore and cartier is.,123.58383789,-12.42993164,13
Fr. S. Antarctic Lands,fr. s. antarctic lands,69.22666758,-49.24895485,14
Antigua and Barb.,antigua and barb.,-61.79469343,17.2774996,15
Australia,australia,134.49100008,-25.73288704,16
Austria,austria,14.1264761,47.58549439,17
Azerbaijan,azerbaijan,47.54599879,40.28827235,18
Burundi,burundi,29.87512156,-3.35939666,19
Belgium,belgium,4.64065114,50.63981576,20
Benin,benin,2.32785254,9.6417597,21
Burkina Faso,burkina faso,-1.75456601,12.26953846,22
Bangladesh,bangladesh,90.23812743,23.86731158,23
Bulgaria,bulgaria,25.21552909,42.76890318,24
Bahrain,bahrain,50.54196932,26.04205135,25
Canada,canada,-98.30777028,61.36206324,26
Bahamas,bahamas,-76.62843038,24.29036702,27
Bosnia and Herz.,bosnia and herz.,17.76876733,44.17450125,28
St-BarthÃ©lemy,st-barthã©lemy,-62.84067779,17.89880451,29
Belarus,belarus,28.03209307,53.53131377,30
Belize,belize,-88.71010486,17.20027509,31
Bermuda,bermuda,-64.7545589,32.31367802,32
Bolivia,bolivia,-64.68538645,-16.70814787,33
Brazil,brazil,-53.09783113,-10.78777702,34
Barbados,barbados,-59.559797,13.18145428,35
Brunei,brunei,114.72203035,4.51968958,36
Bhutan,bhutan,90.40188155,27.41106589,37
Botswana,botswana,23.79853368,-22.18403213,38
Central African Rep.,central african rep.,20.46826831,6.56823297,39
Switzerland,switzerland,8.20867471,46.79785878,40
Chile,chile,-71.38256213,-37.73070989,41
China,china,103.81907349,36.56176546,42
CÃ´te d'Ivoire,cã´te d'ivoire,-5.5692157,7.6284262,43
Cameroon,cameroon,12.73964156,5.69109849,44
Dem. Rep. Congo,dem. rep. congo,23.64396107,-2.87746289,45
Congo,congo,15.21965762,-0.83787463,46
Cook Is.,cook is.,-159.78724218,-21.21927288,47
Colombia,colombia,-73.08114582,3.91383431,48
Comoros,comoros,43.68253968,-11.87783444,49
Cape Verde,cape verde,-23.9598882,15.95523324,50
Costa Rica,costa rica,-84.19208768,9.97634464,51
Cuba,cuba,-79.01605384,21.62289528,52
CuraÃ§ao,curaã§ao,-68.97119369,12.19551675,53
Cayman Is.,cayman is.,-80.91213321,19.42896497,54
N. Cyprus,n. cyprus,33.5684813,35.26277486,55
Cyprus,cyprus,33.0060022,34.91667211,56
Czech Rep.,czech rep.,15.31240163,49.73341233,57
Germany,germany,10.38578051,51.10698181,58
Djibouti,djibouti,42.5606754,11.74871806,59
Dominica,dominica,-61.357726,15.4394702,60
Denmark,denmark,10.02800992,55.98125296,61
Dominican Rep.,dominican rep.,-70.50568896,18.89433082,62
